"Ligands","Receptors","source","Organism"
"AT1G74820","AT2G39060","STRING","Arabidopsis thaliana"
"AT1G75040","AT1G21250","STRING","Arabidopsis thaliana"
"AT1G75040","AT2G32680","STRING","Arabidopsis thaliana"
"AT1G75450","AT1G73590","STRING","Arabidopsis thaliana"
"AT1G75680","AT1G55260","STRING","Arabidopsis thaliana"
"AT1G75680","AT5G65270","STRING","Arabidopsis thaliana"
"AT1G75880","AT5G13750","STRING","Arabidopsis thaliana"
"AT1G75880","AT3G20410","STRING","Arabidopsis thaliana"
"AT1G76850","AT3G53610","STRING","Arabidopsis thaliana"
"AT1G76850","AT3G09900","STRING","Arabidopsis thaliana"
"AT1G76850","AT5G03520","STRING","Arabidopsis thaliana"
"AT1G76850","AT3G46060","STRING","Arabidopsis thaliana"
"AT1G78580","AT4G24040","STRING","Arabidopsis thaliana"
"AT1G78660","AT3G09840","STRING","Arabidopsis thaliana"
"AT1G78660","AT2G45040","STRING","Arabidopsis thaliana"
"AT1G78660","AT1G65590","STRING","Arabidopsis thaliana"
"AT1G78660","AT1G70170","STRING","Arabidopsis thaliana"
"AT1G78660","AT1G14040","STRING","Arabidopsis thaliana"
"AT1G78660","AT1G24140","STRING","Arabidopsis thaliana"
"AT1G78660","AT1G59970","STRING","Arabidopsis thaliana"
"AT1G78660","AT5G43350","STRING","Arabidopsis thaliana"
"AT1G78660","AT4G16640","STRING","Arabidopsis thaliana"
"AT1G78670","AT3G09840","STRING","Arabidopsis thaliana"
"AT1G78670","AT2G45040","STRING","Arabidopsis thaliana"
"AT1G78670","AT1G65590","STRING","Arabidopsis thaliana"
"AT1G78670","AT1G70170","STRING","Arabidopsis thaliana"
"AT1G78670","AT1G14040","STRING","Arabidopsis thaliana"
"AT1G78670","AT1G24140","STRING","Arabidopsis thaliana"
"AT1G78670","AT1G59970","STRING","Arabidopsis thaliana"
"AT1G78670","AT5G43350","STRING","Arabidopsis thaliana"
"AT1G78670","AT4G16640","STRING","Arabidopsis thaliana"
"AT1G78680","AT3G09840","STRING","Arabidopsis thaliana"
"AT1G78680","AT2G45040","STRING","Arabidopsis thaliana"
"AT1G78680","AT1G65590","STRING","Arabidopsis thaliana"
