Quality,Time,LR_pair,SignalStrength,n_samples,platform
gamma,0-0.5h,AT1G72990->AT1G24140,250.1257077774979,16,rnaseq
gamma,0-0.5h,AT1G72990->AT3G09840,429.7871302241055,16,rnaseq
gamma,0-0.5h,AT1G72990->AT2G45040,192.93516451001975,16,rnaseq
gamma,0-0.5h,AT1G72990->AT1G65590,377.6046467574482,16,rnaseq
gamma,0-0.5h,AT1G72990->AT1G05590,324.8466946728892,16,rnaseq
gamma,0-0.5h,AT1G72990->AT1G59970,309.637200421486,16,rnaseq
gamma,0-0.5h,AT1G72990->AT1G70170,272.8523569376797,16,rnaseq
gamma,0-0.5h,AT1G72990->AT1G55350,396.7013630333132,16,rnaseq
gamma,0-0.5h,AT1G72990->AT4G16640,171.64252222726392,16,rnaseq
gamma,0-0.5h,AT1G73165->AT1G75820,180.94466095596096,16,rnaseq
gamma,0-0.5h,AT1G73165->AT5G13290,115.48659993005914,16,rnaseq
gamma,0-0.5h,AT1G73165->AT1G65380,120.34567159105166,16,rnaseq
gamma,0-0.5h,AT1G73370->AT1G06490,298.66937230495296,16,rnaseq
gamma,0-0.5h,AT1G73965->AT1G75820,226.89394502752376,16,rnaseq
gamma,0-0.5h,AT1G74210->AT1G32050,408.17479567093915,16,rnaseq
gamma,0-0.5h,AT1G74670->AT4G37220,399.4675356123348,16,rnaseq
gamma,0-0.5h,AT1G74820->AT1G51340,5.018450391490441,16,rnaseq
gamma,0-0.5h,AT1G74820->AT2G39060,0.011666009189046485,16,rnaseq
gamma,0-0.5h,AT1G75040->AT1G21250,187.04167204150085,16,rnaseq
gamma,0-0.5h,AT1G75040->AT2G32680,69.0995892044309,16,rnaseq
gamma,0-0.5h,AT1G75450->AT1G73590,346.1226789965883,16,rnaseq
gamma,0-0.5h,AT1G75680->AT1G55260,407.57911239103606,16,rnaseq
gamma,0-0.5h,AT1G75680->AT5G65270,404.74756373874504,16,rnaseq
gamma,0-0.5h,AT1G75880->AT5G13750,318.2627586530272,16,rnaseq
gamma,0-0.5h,AT1G75880->AT3G20410,317.2840375586066,16,rnaseq
gamma,0-0.5h,AT1G76850->AT3G53610,417.95153534997974,16,rnaseq
gamma,0-0.5h,AT1G76850->AT3G09900,410.0973764116794,16,rnaseq
gamma,0-0.5h,AT1G76850->AT5G03520,448.1473030514842,16,rnaseq
gamma,0-0.5h,AT1G76850->AT3G46060,438.3654889420612,16,rnaseq
gamma,0-0.5h,AT1G78580->AT4G24040,349.88061379253213,16,rnaseq
gamma,0-0.5h,AT1G78660->AT3G09840,461.6982660976791,16,rnaseq
gamma,0-0.5h,AT1G78660->AT2G45040,237.5164889100043,16,rnaseq
gamma,0-0.5h,AT1G78660->AT1G65590,415.83334105328447,16,rnaseq
gamma,0-0.5h,AT1G78660->AT1G70170,319.55325856074967,16,rnaseq
gamma,0-0.5h,AT1G78660->AT1G14040,401.7345844030913,16,rnaseq
gamma,0-0.5h,AT1G78660->AT1G24140,296.9840752263962,16,rnaseq
gamma,0-0.5h,AT1G78660->AT1G59970,354.7100810626949,16,rnaseq
gamma,0-0.5h,AT1G78660->AT5G43350,395.6746474940162,16,rnaseq
