"Gene","Module","kME_MEblue","kME_MEturquoise","kME_MEgrey","IsHub"
"AT5G20720","turquoise",0.267187600488777,0.910605183613094,-0.0681394301884366,TRUE
"AT5G44020","blue",0.765901344137887,0.508810856003602,-0.290372371213583,TRUE
"AT3G57520","blue",0.780050163997685,0.211235449225031,-0.0670782686989517,TRUE
"AT1G52230","turquoise",0.216541256672455,0.878384462023281,-0.0355006752845842,TRUE
"AT1G68010","turquoise",0.549810277188244,0.696604283233649,-0.090488134285163,FALSE
"AT5G47210","turquoise",0.298925975947006,0.937713036208116,-0.123255514824104,TRUE
"AT2G37040","turquoise",-0.0355006752845842,0.593542993118529,0.142774454948871,FALSE
"AT3G55440","turquoise",0.331114541128047,0.914206701395588,0.112643899929256,TRUE
"AT5G63160","blue",0.793523699273265,0.202392436812657,-0.242459322142903,TRUE
"AT5G57655","blue",0.762171200720304,-0.0990417390185864,0.0764357836516818,TRUE
"AT5G42270","turquoise",0.543411151842562,0.706572769953052,0.17522027140009,TRUE
"AT3G62290","blue",0.753778378030742,0.314907711106824,0.134574570711943,TRUE
"AT5G56870","blue",0.711267605633803,-0.0912920445044697,-0.253456813943019,TRUE
"AT2G15960","blue",0.762501206298358,0.0957809435488965,-0.100202591941703,TRUE
"AT5G02870","turquoise",0.313961621027743,0.943975046456692,-0.0541679060399686,TRUE
"AT3G09840","turquoise",0.550549874590006,0.543829185156602,0.560711299762043,FALSE
"AT3G25520","turquoise",0.411602032285034,0.928162582802753,-0.0353720496494951,TRUE
"ATCG00180","blue",0.60786300331142,0.35631130572647,0.29964624677164,FALSE
"AT2G36880","turquoise",-0.00295838960704869,0.80223808605055,0.0899093189272622,TRUE
"AT2G26500","turquoise",0.449610907453856,0.620136343173194,0.0199048170300341,FALSE
"AT1G26630","turquoise",0.402694707055116,0.950061097176667,-0.0119621840632838,TRUE
"AT2G41100","blue",0.741816193967458,-0.00675284584217635,0.22171843848479,TRUE
"AT5G49910","turquoise",0.281014856260853,0.836581130619332,0.128625635089073,TRUE
"AT5G10450","blue",0.816869252041932,0.262492764808026,-0.0513537848093125,TRUE
"AT1G64230","blue",0.838478358736896,0.22413016914271,0.0246961219371021,TRUE
"AT5G26742","turquoise",0.583670975625442,0.833526271785967,0.0923853624027269,TRUE
"AT4G02390","grey",0.113641662181804,0.0175736186707289,0.967127846901202,TRUE
"ATCG00800","blue",0.544022123609235,0.407132291465689,-0.0846678242973825,FALSE
"AT1G52400","turquoise",0.353205993954595,0.628078976139945,-0.0138594121808476,FALSE
"AT3G15950","turquoise",0.343944948228182,0.749598044890347,-0.127114283876777,TRUE
"AT3G58610","turquoise",0.471593604054117,0.90593370905967,0.197667033795006,TRUE
"ATCG01070","blue",0.614078273283021,0.0492594215133536,0.312281895836206,FALSE
"AT2G05520","turquoise",0.404849186442858,0.602386005530902,0.363367419126632,FALSE
"AT5G05170","blue",0.794237525248551,0.72612970394095,0.131247437519817,TRUE
"AT3G16770","blue",0.432278603125603,-0.00363367419126632,0.217505948935623,FALSE
"AT3G03780","turquoise",-0.104251077239694,0.697343880635411,0.040034728921474,FALSE
"AT5G56010","turquoise",0.220046305228632,0.735417068621776,0.1159560100328,TRUE
"AT1G80920","blue",0.823943661971831,0.102418161939675,-0.0871438677728471,TRUE
"AT3G13080","blue",0.351598173515982,0.133642034857547,0.828509872017493,FALSE
"AT1G28330","blue",0.765933500546659,0.132580873368062,-0.223744292237443,TRUE
"AT4G28750","turquoise",0.304038844941797,0.807222329410252,-0.0640877226831308,TRUE
"AT5G64260","blue",0.832754517975433,0.0671425815164962,0.269342079876519,TRUE
"AT1G65930","blue",0.891021930670783,0.419512508843012,-0.0652453533989324,TRUE
"AT5G25460","turquoise",0.259341436748344,0.382018136214548,0.155218985143739,FALSE
"ATMG00160","blue",0.501005411051204,0.301848280304882,0.295993083180929,FALSE
"AT5G14780","blue",0.601607846367658,-0.00625452206849878,0.29737117135446,FALSE
"AT2G40000","blue",0.781497202392437,0.129236606855746,-0.12148691234163,TRUE
"AT2G41840","turquoise",0.550554300570081,0.903184314006885,-0.01384344526578,TRUE
"AT3G04840","turquoise",0.236028040388449,0.931024503183485,-0.125377837803074,TRUE
"AT1G54100","blue",0.787188886745128,0.0387806289793556,0.0675606148305357,TRUE
"AT5G14120","blue",0.850247604347547,0.199626985658242,-0.130265611936459,TRUE
"AT1G72370","turquoise",0.344941796900122,0.933500546658949,-0.0901022573798958,TRUE
"AT1G12080","blue",0.382178918258409,0.177406907196604,-0.540195510965335,FALSE
"AT2G18960","blue",0.781657984436298,0.662968679657856,0.16557334876841,TRUE
"AT4G16370","turquoise",-0.002636825519326,0.238632709499003,0.201492057367033,FALSE
"AT5G49720","blue",0.933588442923946,0.559879734082454,0.055261232727626,TRUE
"AT4G27440","turquoise",0.391214869123416,0.785452440671426,-0.00655990738954274,TRUE
"AT5G15200","turquoise",0.380667567046112,0.942150620618689,-0.0687182455463374,TRUE
"AT1G48920","turquoise",0.250691362788604,0.82265740562094,-0.124413145539906,TRUE
"AT1G05850","turquoise",0.506752845842176,0.901247668660364,0.104379702874783,TRUE
"AT1G18080","turquoise",0.31812335198405,0.95633159688726,-0.0690076532252878,TRUE
