"gene_id","genotypeMYB3R135-genotypeWILDTYPE","genotypeSOG11-genotypeWILDTYPE","Time_After_Treatment_min10-Time_After_Treatment_min0","Time_After_Treatment_min1440-Time_After_Treatment_min0","Time_After_Treatment_min180-Time_After_Treatment_min0","Time_After_Treatment_min360-Time_After_Treatment_min0","Time_After_Treatment_min4320-Time_After_Treatment_min0","Time_After_Treatment_min45-Time_After_Treatment_min0","Time_After_Treatment_min720-Time_After_Treatment_min0","Time_After_Treatment_min90-Time_After_Treatment_min0","Radiation_Dose_cGy10-Radiation_Dose_cGy0","Radiation_Dose_cGy100-Radiation_Dose_cGy0","Radiation_Dose_cGy10000-Radiation_Dose_cGy0","Radiation_Dose_cGy40-Radiation_Dose_cGy0","Radiation_Dose_cGy80-Radiation_Dose_cGy0"
"AT1G06577","None","Down","Down","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT1G06583","None","Down","None","None","None","None","None","None","None","None","None","None","Up","None","None"
"AT1G06587","None","Down","Down","None","None","None","None","Down","None","None","None","None","Up","None","None"
"AT1G06593","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G06620","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G06643","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G06647","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G06660","None","None","None","None","None","None","None","None","Up","None","None","None","None","None","None"
"AT1G06687","Up","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G06830","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G06837","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G06980","None","None","None","Up","None","Up","None","None","Up","Up","None","None","None","None","None"
"AT1G07000","None","None","None","None","None","Down","None","None","None","None","None","None","None","None","None"
"AT1G07040","None","None","None","None","None","None","None","Up","None","None","None","None","None","None","None"
"AT1G07050","None","None","None","None","None","None","None","Down","Up","None","None","None","None","None","None"
"AT1G07128","None","None","None","None","None","None","None","None","Down","None","None","None","Up","None","None"
"AT1G07135","None","None","None","Down","Down","Down","Down","None","Down","None","None","None","Up","None","None"
"AT1G07150","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G07160","None","None","None","None","None","None","None","None","None","None","Up","Up","None","None","None"
"AT1G07167","None","None","None","None","None","None","None","Down","None","None","None","None","Up","None","None"
"AT1G07187","None","None","Down","None","Down","None","None","Down","None","None","None","None","None","None","None"
"AT1G07330","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G07350","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G07367","None","None","None","Up","None","None","None","None","Up","None","None","None","None","None","None"
"AT1G07370","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G07373","None","None","None","None","None","None","None","None","Up","None","None","None","None","None","None"
"AT1G07400","None","None","None","None","None","None","Down","None","Down","None","None","None","None","None","None"
"AT1G07430","None","None","None","Up","Up","None","None","None","None","None","None","None","None","None","None"
"AT1G07450","None","None","None","None","None","Up","None","None","None","None","None","None","None","None","None"
"AT1G07477","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G07490","None","None","None","None","None","Up","None","None","Up","None","None","None","None","None","None"
"AT1G07500","None","Down","Down","Up","Up","Up","Up","Up","Up","Up","None","None","Up","None","None"
"AT1G07550","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G07690","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G07728","None","None","None","Down","Down","None","Down","None","Down","None","None","None","Up","None","None"
"AT1G07730","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G07737","None","None","None","None","None","Up","None","None","None","None","None","None","Down","None","None"
"AT1G07885","None","Up","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G07890","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G07897","None","None","None","Up","None","None","None","Down","Up","None","None","None","None","None","None"
"AT1G07900","None","None","None","Up","None","None","None","None","None","None","None","None","None","None","None"
"AT1G07903","None","None","None","Up","None","None","None","None","None","None","None","None","None","None","None"
"AT1G07983","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G08003","None","None","None","None","None","None","Down","None","None","None","None","None","None","None","None"
"AT1G08090","None","Up","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G08250","None","Up","None","None","None","None","None","Down","None","None","None","None","Down","None","None"
"AT1G08260","None","Down","Down","None","None","None","None","Down","None","None","None","None","Up","None","None"
"AT1G08270","None","Down","Down","None","None","None","None","Down","Down","None","None","None","Up","None","None"
"AT1G08273","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G08290","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G08387","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G08430","None","Down","None","None","None","None","None","None","None","None","None","None","None","None","None"
"AT1G08440","None","Up","Up","Up","None","None","None","None","None","None","None","None","Down","None","None"
"AT1G08477","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G08560","None","None","None","None","Down","Down","None","None","None","Down","None","None","Down","None","None"
"AT1G08630","None","Up","None","None","None","None","None","Up","Down","None","None","None","None","None","None"
"AT1G08650","None","None","None","None","None","None","None","Down","None","None","None","None","None","None","None"
"AT1G08657","None","None","None","Up","None","None","Up","None","Up","None","None","None","None","None","None"
"AT1G08667","None","None","None","None","None","None","None","None","None","None","None","Down","None","None","None"
"AT1G08723","Down","None","None","None","None","None","None","None","None","None","None","None","None","None","None"
